bbps_id,bbps_category_name,is_deleted,is_deactive,created_at,updated_at
1,Hospital and Pathology,f,f,2024-12-02 17:05:29.06665+05:30,2024-12-02 17:05:29.06665+05:30,,,,,,f
2,Education Fees,f,f,2024-12-02 17:05:29.067792+05:30,2024-12-02 17:05:29.067792+05:30,,,,,,f
3,DTH,f,f,2024-12-02 17:05:29.068233+05:30,2024-12-02 17:05:29.068233+05:30,,,,,,f
4,Electricity,f,f,2024-12-02 17:05:29.068551+05:30,2024-12-02 17:05:29.068551+05:30,,,,,,f
5,Water,f,f,2024-12-02 17:05:29.068802+05:30,2024-12-02 17:05:29.068802+05:30,,,,,,f
6,Mobile Prepaid,f,f,2024-12-02 17:05:29.068802+05:30,2024-12-02 17:05:29.068802+05:30,,,,,,f
7,Municipal Taxes,f,f,2024-12-02 17:05:29.068802+05:30,2024-12-02 17:05:29.068802+05:30,,,,,,f
8,Loan Repayment,f,f,2024-12-02 17:05:29.068802+05:30,2024-12-02 17:05:29.068802+05:30,,,,,,f
9,Housing Society,f,f,2024-12-02 17:05:29.068802+05:30,2024-12-02 17:05:29.068802+05:30,,,,,,f
10,Mobile Postpaid,f,f,2024-12-02 17:05:29.069807+05:30,2024-12-02 17:05:29.069807+05:30,,,,,,f
11,Donation,f,f,2024-12-02 17:05:29.069807+05:30,2024-12-02 17:05:29.069807+05:30,,,,,,f
12,Landline Postpaid,f,f,2024-12-02 17:05:29.069807+05:30,2024-12-02 17:05:29.069807+05:30,,,,,,f
13,Gas,f,f,2024-12-02 17:05:29.069807+05:30,2024-12-02 17:05:29.069807+05:30,,,,,,f
14,Municipal Services,f,f,2024-12-02 17:05:29.069807+05:30,2024-12-02 17:05:29.069807+05:30,,,,,,f
15,Cable TV,f,f,2024-12-02 17:05:29.070808+05:30,2024-12-02 17:05:29.070808+05:30,,,,,,f
16,Credit Card,f,f,2024-12-02 17:05:29.070808+05:30,2024-12-02 17:05:29.070808+05:30,,,,,,f
17,LPG Gas,f,f,2024-12-02 17:05:29.070808+05:30,2024-12-02 17:05:29.070808+05:30,,,,,,f
18,Prepaid Meter,f,f,2024-12-02 17:05:29.070808+05:30,2024-12-02 17:05:29.070808+05:30,,,,,,f
19,Hospital,f,f,2024-12-02 17:05:29.070808+05:30,2024-12-02 17:05:29.070808+05:30,,,,,,f
20,Broadband Postpaid,f,f,2024-12-02 17:05:29.071806+05:30,2024-12-02 17:05:29.071806+05:30,,,,,,f
21,Insurance,f,f,2024-12-02 17:05:29.071806+05:30,2024-12-02 17:05:29.071806+05:30,,,,,,f
22,Recurring Deposit,f,f,2024-12-02 17:05:29.071806+05:30,2024-12-02 17:05:29.071806+05:30,,,,,,f
23,National Pension System,f,f,2024-12-02 17:05:29.072808+05:30,2024-12-02 17:05:29.072808+05:30,,,,,,f
24,Rental,f,f,2024-12-02 17:05:29.072808+05:30,2024-12-02 17:05:29.072808+05:30,,,,,,f
25,Subscription,f,f,2024-12-02 17:05:29.072808+05:30,2024-12-02 17:05:29.072808+05:30,,,,,,f
26,NCMC Recharge,f,f,2024-12-02 17:05:29.074807+05:30,2024-12-02 17:05:29.074807+05:30,,,,,,f
27,Fastag,f,f,2024-12-02 17:05:29.074807+05:30,2024-12-02 17:05:29.074807+05:30,,,,,,f
28,Clubs and Associations,f,f,2024-12-02 17:05:29.074807+05:30,2024-12-02 17:05:29.074807+05:30,,,,,,f
